2025-05-03 14:15:32.024 [http-nio-5001-exec-3] INFO  c.u.m.controller.AuthController - Method: signin - Args: [com.user.management.request.LoginRequest@1aaa590b]
2025-05-03 14:31:20.011 [http-nio-5001-exec-2] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 6 ms
2025-05-03 14:31:30.004 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:30.010 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:32:02.413 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:32:02.419 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:32:02.428 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:32:02.435 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:32:02.625 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:32:02.636 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 11 ms
2025-05-03 14:32:02.651 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:32:02.659 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:32:02.679 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:32:02.687 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:32:02.698 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:32:02.702 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 4 ms
2025-05-03 14:33:32.791 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:33:32.801 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 10 ms
2025-05-03 14:34:22.486 [http-nio-5001-exec-2] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:22.496 [http-nio-5001-exec-2] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 10 ms
2025-05-03 14:34:22.511 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:22.520 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:34:22.531 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:22.540 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:34:22.552 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:22.559 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:34:25.585 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:25.593 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:34:25.606 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:25.614 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:34:25.626 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:25.632 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 6 ms
2025-05-03 14:34:25.644 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:25.650 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 6 ms
2025-05-03 14:34:26.920 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:26.930 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 10 ms
2025-05-03 14:34:26.945 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:26.953 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:34:26.964 [http-nio-5001-exec-2] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:26.972 [http-nio-5001-exec-2] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:34:26.980 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:26.987 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:34:31.017 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:31.024 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:34:43.785 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:43.796 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 11 ms
2025-05-03 14:34:51.739 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:51.747 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:34:51.758 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:51.766 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:34:51.777 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:51.785 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:34:51.796 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:34:51.802 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 6 ms
2025-05-03 14:36:13.481 [http-nio-5001-exec-2] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:13.486 [http-nio-5001-exec-2] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 5 ms
2025-05-03 14:36:17.823 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:17.830 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:36:17.843 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:17.848 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 5 ms
2025-05-03 14:36:18.064 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:18.073 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:36:18.087 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:18.098 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 11 ms
2025-05-03 14:36:18.110 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:18.119 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:36:18.130 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:18.137 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:36:20.569 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:20.577 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:36:20.587 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:20.596 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:36:20.606 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:20.616 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 10 ms
2025-05-03 14:36:20.626 [http-nio-5001-exec-2] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:36:20.632 [http-nio-5001-exec-2] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 6 ms
2025-05-03 14:37:09.819 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:37:09.824 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 5 ms
2025-05-03 14:37:21.228 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:37:21.237 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:37:21.252 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:37:21.261 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
